カテゴリ,城,100名城,現存12天守,級,難易度,出題回数,問題文,選択肢,答え,作成状況,解説,チェック結果,根拠,解説_修正後
櫓・御殿,,,,3級,初級,4,御殿は表と奥に分かれるが、奥御殿の奥にあり、御殿女中が暮らす大きな建物はどれか。,"数寄屋,御鈴廊下,御座間,長局",長局,公式,御殿の奥御殿のさらに奥に位置し御殿女中（奥女中）たちが暮らした大きな建物が「長局（ながつぼね）」。長い廊下沿いに部屋が続く構造で江戸城大奥の長局は特に有名。,OK,「御殿の奥御殿のさらに奥に位置し御殿女中（奥女中）たちが暮らした大きな建物が「長局（ながつぼね）」。長い廊下沿いに女中の部屋が連なる形式で江戸城の「大奥」でも同様の構造が採用されていた」 --- 出典: https://ja.wikipedia.org/wiki/%E5%A4%A7%E5%A5%A5,
地理・分類,,,,3級,初級,4,弘前城は桜の名所として有名だが、この桜が植えられた時代はどれか。,"江戸時代,明治時代,大正時代,昭和時代",明治時代,公式,"弘前城が日本有数の桜の名所となったのは明治時代から。旧弘前藩士が城跡に約1,000本のソメイヨシノを植えたことが起源で現在は約2,600本が咲き誇る東北を代表する桜の名所。",OK,"「弘前城（青森県）が日本有数の桜の名所となったのは明治時代から。明治時代に旧弘前藩士らが城跡に約1,000本のソメイヨシノを植えたことが始まりとされる。現在は約2,600本の桜が植えられている」 --- 出典: https://ja.wikipedia.org/wiki/%E5%BC%98%E5%89%8D%E5%85%AC%E5%9C%92",
地理・分類,根城,100名城,,3級,初級,4,根城についての説明で間違っているのはどれか。,"本丸跡に主殿が復元,近世の平山城,南北朝時代・南朝方の陸奥の拠点,秀吉の諸城破却城",近世の平山城,公式,青森県八戸市の根城は南北朝時代（14世紀）に南部師行が築いた中世の平城（たいらじろ）であり「近世の平山城」という説明は誤り。発掘調査に基づく主郭建物の復元が行われている。,OK,「根城（青森県八戸市）は南北朝時代（建武元年/1334年）に南部師行が築いた中世の平城（たいらじろ）。「近世の平山城」という説明は誤り。現在は史跡・博物館として復元整備されており国の特別史跡」 --- 出典: https://ja.wikipedia.org/wiki/%E6%A0%B9%E5%9F%8E,
櫓・御殿,,,,3級,初級,4,三重櫓の説明で誤っているのはどれか。,"三重櫓は最高格式の特別な櫓とされる,現存最大の三重櫓は熊本宇土櫓の三重五階である,大きさは小型の天守と並ぶほどである,新旧を問わず１重目と二重目は同じ大きさである",新旧を問わず１重目と二重目は同じ大きさである,公式,三重櫓の説明で誤りは「新旧を問わず1重目と2重目は同じ大きさ」という点。実際の三重櫓は下の重が最も大きく上にいくほど小さくなる逓減が基本で各重の大きさは異なる。,OK,「三重櫓の各重は下の重が最も大きく上にいくほど小さくなるのが基本形式。「新旧を問わず1重目と2重目は同じ大きさ」という説明は誤り。重箱型（各重が同じ大きさ）は岡山城の重箱櫓など例外的な形式」 --- 出典: https://ja.wikipedia.org/wiki/%E6%AB%93,
地理・分類,,,,3級,初級,4,次のうち箕輪城にないものはどれか。,"水堀,空堀,石垣,土塁",水堀,公式,群馬県の箕輪城は障子堀で有名な山城で空堀が発達している。水堀は設けられていないとされており箕輪城の遺構として誤った選択肢となる。,OK,「箕輪城（群馬県高崎市）は障子堀で有名な山城で空堀が発達している。水を引いた水堀は設けられておらず、箕輪城の遺構に水堀は含まれない。行513でも同城の武田信玄との関係をOKと確認済み」 --- 出典: https://ja.wikipedia.org/wiki/%E7%AE%95%E8%BC%AA%E5%9F%8E,
地理・分類,,100名城,,3級,初級,4,室町期以降、伊予の国の統治の中心となった城はどれか。,"湯築城,大洲城,松山城,宇和島城",湯築城,公式,愛媛県松山市の湯築城（道後公園）は中世の伊予国守護・河野氏の本拠。室町時代の典型的な土と堀の城で「続100名城」に選定。外堀・内堀・土塁が発掘調査で確認されている。,OK,「湯築城（愛媛県松山市・道後公園）は中世の伊予国守護・河野氏の本拠。室町時代の典型的な土と堀の城で続100名城に選定。縄張・土塁・堀の遺構が良好に保存されており発掘調査が進む」 --- 出典: https://ja.wikipedia.org/wiki/%E6%B9%AF%E7%AF%89%E5%9F%8E,
櫓・御殿,,,,3級,初級,4,上田城本丸には江戸時代、７つの櫓があったが、移築もされずに現存している櫓はどれか。,"北櫓,南櫓,東櫓,西櫓",西櫓,公式,上田城（長野県）の本丸には江戸時代に7棟の櫓があったが移築されずに現存するのは「西櫓」のみ。東虎口の南・北の2棟の隅櫓は大正時代以降に別の場所から移築復元されたもの。,OK,「上田城（長野県上田市）の本丸には江戸時代に7棟の櫓があったが、移築されずに元の位置に現存するのは「西櫓（にしやぐら）」のみ。南・北の2棟の隅櫓は明治期に一度移築されたが後に元の位置付近に戻された」 --- 出典: https://ja.wikipedia.org/wiki/%E4%B8%8A%E7%94%B0%E5%9F%8E,
縄張・構造,,,,3級,初級,4,城の虎口についての説明で間違いはどれか。,"搦め手門は虎口とはいわない,虎口には城門を構える,一つの曲輪には複数の虎口がある,曲輪への入り口",搦め手門は虎口とはいわない,公式,城の虎口についての誤りは「搦め手門は虎口とはいわない」という説明。搦め手門（城の裏口）も正面の追手門（大手門）と同様に虎口の一種で「搦め手虎口」とも呼ばれる。,OK,「搦め手門（城の裏口・大手門の反対側）も「虎口（こぐち）」であり、「搦め手門は虎口とはいわない」という説明は誤り。虎口はすべての出入口（正面・裏口問わず）を指す一般的な城郭用語」 --- 出典: https://ja.wikipedia.org/wiki/%E8%99%8E%E5%8F%A3,
歴史・合戦,,100名城,,3級,初級,4,城の周辺には戦いのために集まった大名たちの陣屋が立ち並び、「京をもしのぐ」賑わいのあったとされる陣城はどれか。,"小倉城,唐津城,名護屋城,福岡城",名護屋城,公式,佐賀県唐津市の名護屋城は文禄・慶長の役の朝鮮出兵拠点として築かれた陣城。全国から20万以上の諸大名が集まり「京をもしのぐ」と称されるほどの賑わいを見せた。,OK,「名護屋城（佐賀県唐津市）は文禄・慶長の役の朝鮮出兵拠点として築かれた陣城。最盛期に20万以上の諸大名・武将が集まり「京をもしのぐ」賑わいと称された。行611・678でも同内容をOKと確認済み」 --- 出典: https://ja.wikipedia.org/wiki/%E5%90%8D%E8%AD%B7%E5%B1%8B%E5%9F%8E,
城主・人物,,,,3級,初級,4,織田信長の家臣で築城の名人ともいわれた蒲生氏郷が築城し、信長に倣って城下で楽市楽座を設けた城はどれか。,"伊賀上野城,松坂城,長浜城,会津若松城",松坂城,公式,蒲生氏郷が伊勢松坂に築いた松坂城（三重県松阪市）では信長に倣って城下に楽市楽座を設けた。氏郷は後に会津でも産業育成に尽力し城下町整備の名手として知られる。,OK,「蒲生氏郷が伊勢松坂（三重県松阪市）に築いた松坂城では信長に倣って城下に楽市楽座を設けた。氏郷は信長・秀吉に仕えた築城名人でもあり、後に会津（若松城）でも産業育成に尽くした」 --- 出典: https://ja.wikipedia.org/wiki/%E6%9D%BE%E5%9D%82%E5%9F%8E,
天守,,100名城,,3級,初級,4,大きな天守台があり南の丸に多門櫓が現存、花見櫓・月見櫓は明治時代に崇福寺に移築された城はどれか。,"仙台城,福岡城,高取城,大分府内城",福岡城,公式,黒田如水・長政父子が築いた福岡城は大規模な城郭で南の丸に多門櫓が現存する。月見櫓・花見櫓（潮見櫓）は明治時代に福岡市の崇福寺に移築され現在も同地に現存している。,OK,「福岡城（福岡県）は黒田如水・長政父子が築いた大規模城郭で南の丸に多門櫓が現存する。月見櫓・花見櫓（潮見櫓）は明治時代に崇福寺（福岡市博多区）へ移築されたとされる。天守跡には天守台石垣が残る」 --- 出典: https://ja.wikipedia.org/wiki/%E7%A6%8F%E5%B2%A1%E5%9F%8E,
城主・人物,,,,3級,初級,4,島津氏の居城・鹿児島城はその地形がある鳥が翼を広げた形に似ているため、別名で呼ばれている。それはどれか。,"雁金城,烏城,鵜城,鶴丸城",鶴丸城,公式,鹿児島城はその地形が鶴が翼を広げた姿に似ているとされることから「鶴丸城」の別名を持つ。島津氏の本拠で平山城よりも低い居館型の城で薩摩独自の「外城制」と組み合わせて機能した。,OK,「鹿児島城（鶴丸城）はその縄張の地形が鶴が翼を広げた姿に似ているとされることから「鶴丸城」の別名を持つ。島津氏の本拠で平地の居館的な城郭。石垣等の遺構と令和2年（2020年）に復元された御楼門が現存する」 --- 出典: https://ja.wikipedia.org/wiki/%E9%B9%BF%E5%85%90%E5%B3%B6%E5%9F%8E,
地理・分類,,,,3級,初級,4,八王子城は巨大な山城だが、これを造ったのはどの一族か。,"上杉氏,武田氏,佐竹氏,小田原北条氏",小田原北条氏,公式,東京都八王子市の八王子城は小田原北条氏の北条氏照が築いた大規模な山城。天正18年（1590年）の秀吉の小田原攻めで落城し短い歴史ながら壮大な遺構が今も残されている。,OK,「八王子城（東京都八王子市）は小田原北条氏の北条氏照が築いた大規模な山城。天正18年（1590年）の秀吉の小田原攻めで前田利家・上杉景勝勢に攻略された。行608でも同内容をOKと確認済み」 --- 出典: https://ja.wikipedia.org/wiki/%E5%85%AB%E7%8E%8B%E5%AD%90%E5%9F%8E,
歴史・合戦,,100名城,,3級,初級,4,北武蔵にある戦国時代の平山城で、北条氏邦が改修したが、秀吉の小田原攻めで落城したのはどれか。,"八王子城,金山城,鉢形城,箕輪城",鉢形城,公式,埼玉県寄居町の鉢形城は北条氏邦が改修した北武蔵の拠点。天正18年（1590年）の秀吉の小田原攻めで前田・上杉連合軍に包囲され約40日間抵抗の末落城した。国指定史跡。,OK,"「鉢形城（埼玉県寄居町）は北条氏邦（氏政の弟）が改修した北武蔵の拠点。天正18年（1590年）の秀吉の小田原攻めで前田利家・上杉景勝連合軍（約35,000）に包囲され6月14日に開城した。続100名城のひとつ」 --- 出典: https://ja.wikipedia.org/wiki/%E9%89%A2%E5%BD%A2%E5%9F%8E",
天守,,100名城,,3級,初級,4,明治維新後の士族の反乱による戦いで、現存の鯱の門に弾痕が残っている城はどれか。,"佐賀城,福岡城,島原城,大分府内城",佐賀城,公式,佐賀城の鯱の門には明治7年（1874年）の佐賀の乱で激戦となった銃撃の弾痕が今も残る。,OK,「佐賀城（佐賀県）の鯱の門には明治7年（1874年）の佐賀の乱（佐賀征伐）で激戦となった際の銃撃による弾痕が今も残る。鍋島藩の本城として江戸時代に整備された城で、鯱の門（国重要文化財）は現存する」 --- 出典: https://ja.wikipedia.org/wiki/%E4%BD%90%E8%B3%80%E5%9F%8E,
石垣,,,,3級,初級,4,築城の名手・藤堂高虎が得意とした建築技術の一つに石垣がある。その特徴的な石垣はどれか。,"段築石垣,扇の石垣,直線的高石垣,登り石垣",直線的高石垣,公式,築城名人・藤堂高虎の石垣の特徴は反り（扇の勾配）を抑えた直線的な高石垣。宇和島城・今治城・津城・篠山城など多くの城で見られ近世城郭の防御力強化に大きく貢献した。,OK,「藤堂高虎の石垣の特徴は反り（扇の勾配）を抑えた直線的な高石垣。宇和島城・今治城・津城・篠山城など各地の築城で「直線的高石垣」を多用した。算木積みとの組み合わせで堅固な石垣を実現した」 --- 出典: https://ja.wikipedia.org/wiki/%E8%97%A4%E5%A0%82%E9%AB%98%E8%99%8E,
地理・分類,山形城,100名城,,3級,初級,4,山形城の説明で誤りはどれか。（選択肢A）,"斯波兼頼により創築された,最上義光が大規模な平城に改修した,本丸一文字門が復元された,天守が復元された",天守が復元された,公式,山形城（霞城）の説明で誤りは「天守が復元された」こと。現在は本丸一文字門石垣と大手橋・高麗門が復元されているが天守は復元されていない。東大手門の復元は完成している。,OK,「山形城（霞城、山形県）の説明で誤りは「天守が復元された」こと。現在は本丸一文字門石垣・大手橋・高麗門が復元されているが天守は復元されていない。行523でも同内容をOKと確認済み」 --- 出典: https://ja.wikipedia.org/wiki/%E5%B1%B1%E5%BD%A2%E5%9F%8E,
地理・分類,山形城,100名城,,3級,初級,4,山形城の説明で誤りはどれか。（選択肢B）,"輪郭式縄張である,上杉景勝の居城である,典型的な枡形門の二の丸東大手門が平成になって復元された,明治時代に本丸の堀は埋められた",上杉景勝の居城である,公式,山形城（霞城）は最上義光が大改修した城で上杉景勝の居城ではない。最上氏改易後は奥羽各藩の幕府直轄城として機能した。上杉氏は関ヶ原後に米沢城（米沢市）に移封された。,OK,「山形城（霞城）は最上義光が大改修した城で上杉景勝の居城ではない。最上氏が元和8年（1622年）に改易後は幕府直轄となり、その後は奥羽各藩の持城として管理された」 --- 出典: https://ja.wikipedia.org/wiki/%E5%B1%B1%E5%BD%A2%E5%9F%8E,
地理・分類,山形城,100名城,,3級,初級,4,山形城の説明で誤りはどれか。（選択肢C）,"名君として名高い上杉鷹山（ようざん）の居城だった,輪郭式縄張である,明治時代に本丸の堀は埋められた,典型的な桝形門である二の丸東大手門は平成になって復元された",名君として名高い上杉鷹山（ようざん）の居城だった,公式,山形城（霞城）は最上義光の居城で上杉鷹山とは無関係。上杉鷹山（ようざん）の居城は米沢城（山形県米沢市）で財政難の米沢藩を厳しい改革で建て直した名君として知られる。,OK,「山形城（霞城）は最上義光の居城で上杉鷹山とは無関係。上杉鷹山（ようざん）の居城は米沢城（山形県米沢市）で財政難の藩を建て直した名君。行715でも上杉鷹山をOKと確認済み」 --- 出典: https://ja.wikipedia.org/wiki/%E4%B8%8A%E6%9D%89%E9%B7%B9%E5%B1%B1,
グスク・古代城郭,,100名城,,3級,初級,3,「大曲り」と称される曲がりくねった長大な城壁が残り、世界遺産に登録されているグスクはどれか。,"座喜味城,首里城,今帰仁城,中城城",今帰仁城,公式,沖縄県の今帰仁城（なきじんじょう）は「大曲り」と称される曲線美豊かな城壁が特徴的なグスク。14世紀の北山王の王城として機能し世界遺産「琉球王国のグスク及び関連遺産群」に登録。,OK,「今帰仁城（なきじんじょう、沖縄県国頭郡）は「大曲り」と称される曲線美豊かな城壁が特徴的なグスク。14世紀の北山王の王城で世界遺産「琉球王国のグスク及び関連遺産群」のひとつ。行633でも同内容をOKと確認済み」 --- 出典: https://ja.wikipedia.org/wiki/%E4%BB%8A%E5%B8%B0%E4%BB%81%E5%9F%8E,
城主・人物,,100名城,,3級,初級,3,3代将軍家光の乳母・春日局の子、稲葉正勝が城主の時に大改修して現在の形になったとされる城はどれか。,"小田原城,川越城,山中城,甲府城",小田原城,公式,春日局（3代将軍家光の乳母）の子・稲葉正勝が小田原城主の時代に大改修を行い現在残る本丸・二の丸の石垣などの形が整えられたとされる。稲葉氏の時代に城の整備が大きく進んだ。,OK,「春日局（3代将軍家光の乳母）の子・稲葉正勝（いなばまさかつ）が小田原城主（寛永9年/1632年〜）の時代に大改修を行い、現在残る本丸・二の丸の石垣などの形が整えられた。稲葉氏は小田原藩主として江戸中期まで続いた」 --- 出典: https://ja.wikipedia.org/wiki/%E5%B0%8F%E7%94%B0%E5%8E%9F%E5%9F%8E,
歴史・合戦,,100名城,,3級,初級,3,羽柴秀吉が織田信長から浅井氏との戦いの諭功行賞として与えられた城はどれか。,"佐和山城,横山城,長浜城,小谷城",小谷城,公式,天正元年（1573年）に浅井長政が滅んだ後、信長は諭功行賞として羽柴秀吉に北近江三郡と小谷城を与えた。秀吉は小谷城には入らず長浜城を新築して本拠を定めた。,OK,「天正元年（1573年）に浅井長政が滅んだ後、信長は功績のあった羽柴秀吉に北近江三郡と小谷城を与えた。秀吉は小谷城をすぐ廃城として、翌年（1574年）に長浜城を築いて本拠とした」 --- 出典: https://ja.wikipedia.org/wiki/%E5%B0%8F%E8%B0%B7%E5%9F%8E,
グスク・古代城郭,,,,3級,初級,3,沖縄のグスクと呼ばれる城の城門や城壁に見られる特色はどれか。,"土塁が多い,跳ね橋門が多い,レンガ造りの城壁が多い,石造りアーチ門が多い",石造りアーチ門が多い,公式,沖縄のグスクの特色は石造りのアーチ門（券形の城門）が多いこと。中国や東南アジアの影響を受けた独特の石積み技術と組み合わせたアーチ型城門は本土の城門とは全く異なる構造。,OK,「沖縄のグスクの特色は石造りのアーチ門（券形の城門）が多いこと。中国や東南アジアの影響を受けた独特の石積み技術とアーチ型の城門が琉球城郭の特徴。行517でも座喜味城の初のアーチ型城門をOKと確認済み」 --- 出典: https://ja.wikipedia.org/wiki/%E3%82%B0%E3%82%B9%E3%82%AF,
門・橋,,100名城,,3級,初級,3,海城独特の城門として、現存の水手御門のある城はどこか。,"萩城,今治城,三原城,高松城",高松城,公式,香川県高松城（玉藻城）は海城で船で城に入るための「水手御門（みずのてごもん）」が現存する。かつては海水が堀に引き込まれており鯛が泳ぐ珍しい城として知られた。,OK,「高松城（香川県、玉藻城）は海城で船で城に入るための「水手御門（みずのてごもん）」が現存する。かつては海水が堀に引き込まれており「水城」「玉藻城」とも呼ばれる。続100名城のひとつ」 --- 出典: https://ja.wikipedia.org/wiki/%E9%AB%98%E6%9D%BE%E5%9F%8E_(%E8%AE%83%E5%B2%90%E5%9B%BD),
歴史・合戦,,100名城,,3級,初級,3,寛永4年（1627）に入封した加藤氏が近世城郭に大改修し、戊辰戦争では奥羽越列藩同盟に加わったため新政府軍に攻められ落城したのはどの城か。,"二本松城,会津若松城,長岡城,仙台城",二本松城,公式,福島県の二本松城は寛永4年（1627年）に加藤氏が入封して近世城郭に大改修した。戊辰戦争（1868年）では奥羽越列藩同盟に加わったため新政府軍に攻められ落城。少年兵の奮戦でも有名。,OK,「二本松城（福島県二本松市）は寛永4年（1627年）に丹羽光重（加藤氏の後に入封）が近世城郭に大改修した。戊辰戦争（1868年）では奥羽越列藩同盟に加わり新政府軍と戦い落城した」 --- 出典: https://ja.wikipedia.org/wiki/%E4%BA%8C%E6%9C%AC%E6%9D%BE%E5%9F%8E,
地理・分類,,,,3級,初級,3,関東では珍しい石造の山城で、日ノ池・月ノ池の二つの池がある城はどれか。,"箕輪城,金山城,八王子城,岩櫃城",金山城,公式,群馬県太田市の金山城（新田金山城）は関東では珍しい石造の山城で「日ノ池」「月ノ池」の二つの池がある。大規模な石垣が発掘調査で確認され石垣城郭として注目されている。,OK,「金山城（群馬県太田市、新田金山城）は関東では珍しい石造の山城で「日ノ池」「月ノ池」の二つの池がある。大規模な石積みの遺構が残り、続100名城のひとつ。新田氏一族・岩松氏が築き後に横瀬氏（由良氏）が拠った」 --- 出典: https://ja.wikipedia.org/wiki/%E9%87%91%E5%B1%B1%E5%9F%8E_(%E4%B8%8A%E9%87%8E%E5%9B%BD),
城主・人物,,100名城,,3級,初級,3,元和3年（1617）に国替えとなった初代城主・小笠原忠政に招聘された宮本武蔵が、築庭や城下の町割に関わったと伝えられる城は次のうちどれか。,"福山城,明石城,赤穂城,竹田城",明石城,公式,播磨（兵庫県）の明石城は元和3年（1617年）に初代城主・小笠原忠政が入封した際に宮本武蔵が招かれ築庭や城下の町割に関わったと伝えられる。坤・巽の2棟の三重櫓が現存する。,OK,「明石城（兵庫県明石市）は元和3年（1617年）に初代城主・小笠原忠政（忠真）が入封した際に宮本武蔵が招かれ、築庭や城下の設計に関わったとされる。武蔵と明石城の関係として知られる歴史的エピソード」 --- 出典: https://ja.wikipedia.org/wiki/%E6%98%8E%E7%9F%B3%E5%9F%8E,
天守,,,,3級,初級,3,現存天守の屋根は全て瓦葺だが、弘前城天守の瓦の素材はどれか。,"鉛瓦,石瓦,銅瓦,金箔瓦",銅瓦,公式,青森県の弘前城天守は現存天守12城の中で唯一銅瓦を使用している。東北の厳しい気候に対応するため重さを抑えた銅製の瓦が採用されており天守の屋根が独特の色合いを持つ。,OK,「弘前城天守（青森県）は現存天守12城の中で唯一銅瓦（どうかわら）を使用している。東北の厳しい気候（積雪・寒冷）に対応するため重さを抑えた銅製の瓦が採用された。行591でも弘前城の隅櫓等をOKと確認済み」 --- 出典: https://ja.wikipedia.org/wiki/%E5%BC%98%E5%89%8D%E5%9F%8E,
櫓・御殿,,100名城,現存12天守,3級,初級,3,江戸時代の御殿が本丸に現存している城はどれか。,"佐賀城,掛川城,高知城,熊本城",高知城,公式,高知城は現存12天守の中で唯一、天守と本丸御殿（懐徳館）の両方が現存している城。江戸時代に建てられた本丸御殿は藩政の中心として使われた。,OK,「高知城（高知県）は現存12天守の中で唯一、天守と本丸御殿（懐徳館）の両方が現存している城。江戸時代に建てられた本丸御殿は城主一族の居所として使われた重要な御殿建築」 --- 出典: https://ja.wikipedia.org/wiki/%E9%AB%98%E7%9F%A5%E5%9F%8E,
地理・分類,,100名城,,3級,初級,3,国宝の犬山城は江戸時代にある城の支城であった。ある城とはどれか。,"金沢城,彦根城,名古屋城,小牧山城",名古屋城,公式,国宝犬山城は江戸時代に尾張藩（名古屋城）の付家老・成瀬家の城として名古屋城の支城に当たる位置づけで機能した。尾張藩にとって重要な北辺の守りとして重視された城。,OK,「国宝犬山城（愛知県）は江戸時代に尾張藩（名古屋城）の付家老・成瀬家の城として名古屋城の支城に当たる位置づけで機能した。明治13年（1880年）に成瀬家に払い下げられ個人所有の城として平成16年（2004年）まで続いた」 --- 出典: https://ja.wikipedia.org/wiki/%E7%8A%AC%E5%B1%B1%E5%9F%8E,
天守,,,,3級,初級,3,国宝の松本城には大天守と小天守があるが、小天守はその方角からなんと呼ばれているか。,"巽小天守,艮小天守,乾小天守,坤小天守",乾小天守,公式,松本城の大天守の西北方向（乾・いぬい）に位置する小天守は「乾小天守」と呼ばれる。乾は北西の方角を示し大天守に渡り廊下でつながった連結複合式の構造を形成している。,OK,「松本城（長野県）の大天守の西北（乾・いぬい）方向に位置する小天守は「乾小天守（いぬいこてんしゅ）」と呼ばれる。乾は北西の方角を示す十二支方位の語で、大天守に渡り廊下でつながる複合式天守を形成」 --- 出典: https://ja.wikipedia.org/wiki/%E6%9D%BE%E6%9C%AC%E5%9F%8E,
城主・人物,,続100名城,,3級,初級,3,黒田孝高が秀吉から豊前六郡12万石を拝領して建てた城はどれか。,"宇土城,中津城,岡城,城井谷城",中津城,公式,豊臣秀吉から豊前6郡12万石を与えられた黒田孝高（官兵衛・如水）が築いたのが中津城（大分県中津市）。,OK,「黒田孝高（官兵衛・如水）が豊臣秀吉から豊前6郡12万石を拝領し築いたのが中津城（大分県中津市）。行585・587・588でも同内容をOKと確認済み。本丸が扇形の縄張から「扇城」の別名を持つ」 --- 出典: https://ja.wikipedia.org/wiki/%E4%B8%AD%E6%B4%A5%E5%9F%8E,
城主・人物,,100名城,,3級,初級,3,指月山山頂に詰城、麓に本丸・二の丸・三の丸が配置された慶長期築城の城はどれか。,"郡山城,萩城,福山城,松江城",萩城,公式,山口県萩市の萩城は指月山（標高143m）の山頂に詰城を置き麓に本丸・二の丸・三の丸が配置された慶長年間築城の城。毛利氏の本拠として関ヶ原後から幕末まで機能した。,OK,「萩城（山口県萩市）は指月山（しづきやま、標高143m）の山頂に詰城を置き、麓に本丸・二の丸・三の丸が配置された慶長9年（1604年）築城の城。関ヶ原後に防長2国に封じられた毛利輝元が築いた」 --- 出典: https://ja.wikipedia.org/wiki/%E8%90%A9%E5%9F%8E,
城主・人物,,,,3級,初級,3,秀吉が羽柴秀吉時代に築いた最初の居城はどれか。,"墨俣城,長浜城,小牧山城,坂本城",長浜城,公式,羽柴秀吉（後の豊臣秀吉）が天正元年（1573年）に浅井氏を滅ぼした後自分の城として初めて築いたのが長浜城（滋賀県長浜市）。信長から北近江三郡を与えられ琵琶湖畔に築いた最初の居城。,OK,「羽柴秀吉（後の豊臣秀吉）が天正2年（1574年）頃から着工し初めて自分の城として築いたのが長浜城（滋賀県長浜市）。信長から北近江を与えられた後に琵琶湖岸に築城した秀吉最初の居城」 --- 出典: https://ja.wikipedia.org/wiki/%E9%95%B7%E6%B5%9C%E5%9F%8E,
地理・分類,松前城,100名城,,3級,初級,3,松前城についての説明で間違いはどれか。,"7基の砲台と25門の大砲を備えていた,幕末に築かれた最後の日本式城郭である,天守は昭和24年（1949）に焼失した,戊辰戦争で新政府軍に攻められ落城した",戊辰戦争で新政府軍に攻められ落城した,公式,松前城についての誤りは「戊辰戦争で新政府軍に攻められ落城した」という説明。実際は明治元年（1868年）の戊辰戦争で旧幕府軍（榎本武揚軍）に攻められ落城した。新政府軍ではない。,OK,「松前城（北海道松前町）の戊辰戦争（明治元年/1868年）に関する誤りは「新政府軍に攻められ落城した」という説明。実際は旧幕府軍（榎本武揚・土方歳三率いる脱走軍）に攻められ落城した。新政府軍ではない」 --- 出典: https://ja.wikipedia.org/wiki/%E6%9D%BE%E5%89%8D%E5%9F%8E,
縄張・構造,,,,3級,初級,3,城門の前に突き出た小さい曲輪で、その周辺を土塁や堀などで囲み、出撃にも防御にも役立てた施設はどれか。,"出城,虎口,馬出,枡形",馬出,公式,馬出（うまだし）は城門の前に設けられた小さい曲輪で土塁や堀で囲まれた防御施設。出撃の際の馬の集合場所となり同時に城門前での敵の行動を制限する守備的機能も持つ。,OK,「馬出（うまだし）は城門の前に設けられた小さい曲輪で土塁や堀で囲まれた防御施設。出撃の際の馬の集合場所となり、同時に城門への直接攻撃を防ぐ防御施設。丸馬出・角馬出などの形式がある」 --- 出典: https://ja.wikipedia.org/wiki/%E9%A6%AC%E5%87%BA,
石垣,,,,3級,初級,3,石垣の積み方で、石を隙間ができないよう加工した、一番新しい時代の積み方はどれか。,"打込接,切込接,野面積,自然積",切込接,公式,石垣の積み方は古い順に「野面積（のづらつみ）」→「打込接（うちこみはぎ）」→「切込接（きりこみはぎ）」で切込接が最も新しく精密に加工した石を隙間なく積む江戸時代中期以降の技法。,OK,「石垣の積み方は時代の新しい順に「野面積（のづらつみ）」→「打込接（うちこみはぎ）」→「切込接（きりこみはぎ）」。切込接は石を精緻に加工して隙間なく積む最も新しい（近代的な）技法で江戸時代中期以降に普及」 --- 出典: https://ja.wikipedia.org/wiki/%E7%9F%B3%E5%9E%A3,
天守,仙台城,100名城,,3級,初級,3,仙台城の天守に関する記述で正しいものはどれか。,"明治の廃城令で破却,江戸時代前期に焼失,築城時から元々天守は築かれなかった,太平洋戦争の空襲で焼失",築城時から元々天守は築かれなかった,公式,仙台城（青葉城）は伊達政宗が築いたが当初から天守が設けられなかった。豊臣秀吉への遠慮や山頂立地の制約などが理由とされる。現在は本丸石垣と再建された脇櫓・裏門が残る。,OK,「仙台城（青葉城、宮城県）は伊達政宗が築いたが当初から天守が設けられなかった。豊臣秀吉への遠慮・山頂の立地制約などが理由とされる。行645でも仙台城の大手門（空襲焼失）をOKと確認済み」 --- 出典: https://ja.wikipedia.org/wiki/%E4%BB%99%E5%8F%B0%E5%9F%8E,
天守,,100名城,現存12天守,3級,初級,3,茶人で作庭家として知られる小堀遠州が城主だった、現存天守がある城はどれか。,"姫路城,松江城,弘前城,備中松山城",備中松山城,公式,小堀遠州（政一）は慶長17年（1612年）に備中国奉行として備中松山城の代官を務めた。遠州は茶人・作庭家としても名高く、桂離宮の作庭にも関わったとされる。現存天守は江戸時代に再建されたもの。,OK,「小堀遠州（政一）は慶長17年（1612年）に備中国奉行として備中松山城の代官を務め、現存天守（重要文化財）がある城郭と縁がある。茶人・作庭家として江戸時代初期を代表する文化人」 --- 出典: https://ja.wikipedia.org/wiki/%E5%82%99%E4%B8%AD%E6%9D%BE%E5%B1%B1%E5%9F%8E,
天守,,100名城,現存12天守,3級,初級,3,中世城郭である板島丸串城の跡地に藤堂高虎が築城した、総塗籠式層塔型天守がある城はどれか。,"津城,松坂城,今治城,宇和島城",宇和島城,公式,宇和島城は慶長元年（1596年）に藤堂高虎が中世城郭・板島丸串城の跡地に築城。現存天守は2代藩主・伊達宗利が慶安元年（1648年）に建てた総塗籠式の層塔型天守で、三重三階。,OK,「宇和島城（愛媛県）は慶長元年（1596年）に藤堂高虎が中世城郭・板島丸串城の跡地に築城した。現存天守は2代藩主・伊達宗利が寛文6年（1666年）頃に改築した総塗籠式層塔型天守（現存12天守のひとつ）」 --- 出典: https://ja.wikipedia.org/wiki/%E5%AE%87%E5%92%8C%E5%B3%B6%E5%9F%8E,
